"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[39,12]",-0.447641038187666,0.846190744375041,-2.14274387224237,-1.00998472420113,-0.437947444903299,0.129882991767525,1.1768441644631,1.00008869225234,40000,1,0.6978
"year[40,12]",0.237073782433965,0.741964525404251,-1.23661987149924,-0.264831225589522,0.245382188729153,0.749632829565396,1.66115087511911,1.0002628320209,12043,1,0.630325
"year[41,12]",0.0467930642676109,0.797389582356409,-1.55060301181736,-0.477463410044771,0.0585998940315719,0.583794827066704,1.58073070047271,1.00047053485157,5617,1,0.529075
"year[42,12]",-0.0685910209616114,0.724842369702571,-1.48858620040716,-0.553055556678575,-0.0728147502687689,0.418512428768536,1.35876620129277,1.00025649354531,8882,1,0.5388
"year[43,12]",-0.196669383626643,0.622541297038813,-1.42248762059789,-0.61631705509257,-0.192533045745784,0.22365946992119,1.01034267732383,1.00006967216697,40000,1,0.62335
"year[44,12]",0.513260424489469,0.603823727909824,-0.705462073277029,0.111749966716987,0.527080542815891,0.922308526611204,1.66532377721326,1.00009749025774,20260,1,0.803375
"year[45,12]",0.156034196339522,0.67505560090854,-1.17916945284932,-0.294683059138545,0.16448900700571,0.617483376413278,1.46071427710516,1.00021938687628,13387,1,0.5948
"year[46,12]",-0.103697725094456,0.826724961969089,-1.7485062676293,-0.653271132231744,-0.100664082704266,0.449317905278926,1.50031695639725,1.00026134786628,12574,1,0.5501
"year[47,12]",0.837251595172064,0.680048319289606,-0.526210759915595,0.387389611750026,0.847065955350127,1.29764071323986,2.14099139890701,1.00002896740355,40000,1,0.890275
"year[48,12]",0.18327084046895,0.537280406106067,-0.889988948400977,-0.175435996592955,0.189889501852242,0.547984126695065,1.2158315961441,1.00013417973746,16963,1,0.638575
"year[49,12]",-0.11297429277675,0.825537703009727,-1.74512615452281,-0.663827768306704,-0.107182422958661,0.438941321126323,1.50554441973045,1.00034090294076,6638,1,0.552825
